Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                                |      121    0%  |              40  |            0.9  |           3  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                                                 |      119    0%  |              59  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                                                 |      119    0%  |               1  |            0.2  |          82  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                      |      119    0%  |              59  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                      |      119    0%  |              59  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                                              |      119    0%  |              59  |            0.9  |           2  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                            |      117    0%  |              58  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                      |      117    0%  |              58  |          < 0.1  |           2  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                             |      117    0%  |              58  |            0.6  |           2  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                                 |      116    0%  |              58  |            0.8  |           2  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                                    |      105    0%  |              52  |              2  |           2  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                               |       98    0%  |              12  |            0.1  |           8  |
|  java.util.zip.ZipFile$Source.<init>(ZipFile$Source$Key, boolean, ZipCoder) ZipFile.java                                                                                   |       97    0%  |              48  |              1  |           2  |
