Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  java.util.zip.ZipFile$ZipFileInputStream.close() ZipFile.java                                                                                                             |      0.1    0%  |           < 0.1  |            0.1  |          82  |
|  java.util.logging.LogManager.resetLogger(Logger) LogManager.java                                                                                                          |      0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.Collections$UnmodifiableList.<init>(List) Collections.java                                                                                                      |      0.1    0%  |               0  |            0.1  |         129  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry.<init>(Map$Entry) Collections.java                                                           |      0.1    0%  |               0  |            0.1  |         128  |
|  sun.reflect.generics.parser.SignatureParser.parseZeroOrMoreFormalTypeParameters() SignatureParser.java                                                                    |      0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.jar.Attributes$Name.<init>(String) Attributes.java                                                                                                              |      0.1    0%  |           < 0.1  |          < 0.1  |          27  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                       |      0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.jar.JarEntry.<init>(String) JarEntry.java                                                                                                                       |      0.1    0%  |           < 0.1  |          < 0.1  |          40  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry.getKey() Collections.java                                                                    |      0.1    0%  |               0  |            0.1  |         128  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcName(CompositeData) GarbageCollectionNotifInfoCompositeData.java                                 |      0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.zip.ZipUtils.loadLibrary() ZipUtils.java                                                                                                                        |      0.1    0%  |             0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseFormalTypeParameters() SignatureParser.java                                                                              |      0.1    0%  |             0.1  |          < 0.1  |           1  |
|  java.time.Duration.plus(long, long) Duration.java                                                                                                                         |      0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.<init>(URLClassPath$JarLoader, String, URL, JarEntry) URLClassPath.java                                                      |      0.1    0%  |           < 0.1  |          < 0.1  |          39  |
|  java.lang.StringCoding.hasNegatives(byte[], int, int) StringCoding.java                                                                                                   |      0.1    0%  |           < 0.1  |          < 0.1  |          45  |
|  java.lang.invoke.MethodHandleImpl$AsVarargsCollector.<init>(MethodHandle, Class) MethodHandleImpl.java                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry.getValue() Collections.java                                                                  |    < 0.1    0%  |               0  |          < 0.1  |         128  |
|  sun.reflect.generics.parser.SignatureParser.parseFormalTypeParameter() SignatureParser.java                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipCoder.hash(String) ZipCoder.java                                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |          80  |
|  java.lang.invoke.StringConcatFactory.parseRecipe(MethodType, String, Object[]) StringConcatFactory.java                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           7  |
|  java.lang.invoke.MethodHandleImpl$AsVarargsCollector.<init>(MethodType, MethodHandle, Class) MethodHandleImpl.java                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  com.sun.management.internal.GcInfoCompositeData.getId(CompositeData) GcInfoCompositeData.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.jar.JarFile$JarFileEntry.getCodeSigners() JarFile.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |          39  |
|  java.util.jar.Attributes.getValue(Attributes$Name) Attributes.java                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |          34  |
|  java.util.TreeMap$TreeMapSpliterator.estimateSize() TreeMap.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |          24  |
|  java.util.zip.ZipUtils.LOCSIG(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |          43  |
|  jdk.internal.loader.NativeLibraries$1.run() NativeLibraries.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.misc.MainMethodFinder.findMainMethod(Class) MainMethodFinder.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.InflaterInputStream.close() InflaterInputStream.java                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |          41  |
|  jdk.internal.loader.URLClassPath$FileLoader.<init>(URL) URLClassPath.java                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.sun.management.GcInfo.getMemoryUsageBeforeGc() GcInfo.java                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.ComparableTimSort.sort(Object[], int, int, Object[], int, int) ComparableTimSort.java                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.zip.ZipUtils.CENTIM(byte[], int) ZipUtils.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |          40  |
|  jdk.internal.loader.NativeLibraries$1.run() NativeLibraries.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.jar.JavaUtilJarAccessImpl.ensureInitialization(JarFile) JavaUtilJarAccessImpl.java                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |          22  |
|  sun.reflect.generics.parser.SignatureParser.parseBounds() SignatureParser.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.sun.jmx.mbeanserver.GetPropertyAction.run() GetPropertyAction.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.Inflater.ensureOpen() Inflater.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |         111  |
|  java.util.jar.JarFile.getManEntry() JarFile.java                                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.Collections$UnmodifiableList.equals(Object) Collections.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          32  |
|  java.util.LinkedHashMap$LinkedHashIterator.nextNode() LinkedHashMap.java                                                                                                  |    < 0.1    0%  |               0  |          < 0.1  |         128  |
|  sun.nio.fs.UnixPath.encode(UnixFileSystem, String) UnixPath.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.zip.ZipFile.ensureOpen() ZipFile.java                                                                                                                           |    < 0.1    0%  |               0  |          < 0.1  |         123  |
|  java.util.zip.ZipUtils.CENOFF(byte[], int) ZipUtils.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |          41  |
|  java.time.Duration.ofSeconds(long, long) Duration.java                                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.ZipUtils.CENCRC(byte[], int) ZipUtils.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |          40  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcAction(CompositeData) GarbageCollectionNotifInfoCompositeData.java                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcCause(CompositeData) GarbageCollectionNotifInfoCompositeData.java                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.sun.management.internal.GcInfoCompositeData.getStartTime(CompositeData) GcInfoCompositeData.java                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  sun.management.MappedMXBeanType$BasicMXBeanType.<init>(Class, OpenType) MappedMXBeanType.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |          23  |
|  com.sun.management.internal.GcInfoCompositeData.getEndTime(CompositeData) GcInfoCompositeData.java                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.LinkedHashMap$LinkedValues.iterator() LinkedHashMap.java                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.InflaterInputStream.<init>(InputStream, Inflater, int) InflaterInputStream.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |          41  |
|  java.nio.file.StandardOpenOption.<clinit>() StandardOpenOption.java                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.security.SecureClassLoader$CodeSourceKey.equals(Object) SecureClassLoader.java                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |          38  |
|  java.nio.CharBuffer.position(int) CharBuffer.java                                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |          28  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet.iterator() Collections.java                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.TreeMap$KeySpliterator.<init>(TreeMap, TreeMap$Entry, TreeMap$Entry, int, int, int) TreeMap.java                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |          24  |
|  com.yourkit.al.av.<init>(Class, String, Class[]) a                                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.stream.MatchOps$1MatchSink.<init>(MatchOps$MatchKind, Predicate) MatchOps.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |          24  |
|  javax.management.openmbean.TabularDataSupport.values() TabularDataSupport.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.logging.LogManager$LoggerContext.getLoggerNames() LogManager.java                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  deltablue.Strength.sameAs(Strength)                                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |          30  |
|  jdk.internal.loader.FileURLMapper.exists() FileURLMapper.java                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.NoSuchMethodError.<init>(String) NoSuchMethodError.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           5  |
|  java.util.jar.JarFile.maybeInstantiateVerifier() JarFile.java                                                                                                             |    < 0.1    0%  |               0  |          < 0.1  |         100  |
|  sun.nio.fs.NativeBuffer.close() NativeBuffer.java                                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  com.sun.management.internal.GcInfoCompositeData.<init>(GcInfo, GcInfoBuilder, Object[]) GcInfoCompositeData.java                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.Inflater.needsInput() Inflater.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          70  |
|  java.util.logging.Logger.setLevel(Level) Logger.java                                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.TreeMap$TreeMapSpliterator.getEstimate() TreeMap.java                                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |          24  |
|  com.sun.jmx.mbeanserver.GetPropertyAction.run() GetPropertyAction.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  sun.nio.fs.NativeBuffer.release() NativeBuffer.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.security.SecureClassLoader$CodeSourceKey.hashCode() SecureClassLoader.java                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |          39  |
|  java.util.jar.Attributes$Name.hash(String) Attributes.java                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |          27  |
|  java.util.zip.Inflater.setInput(byte[], int, int) Inflater.java                                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |          41  |
|  java.util.jar.JarFile.ensureInitialization() JarFile.java                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |          22  |
|  sun.nio.fs.NativeBuffers.releaseNativeBuffer(NativeBuffer) NativeBuffers.java                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.zip.ZipEntry.<init>(String) ZipEntry.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |          40  |
|  som.Vector.sort(int, int, Comparator)                                                                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |          30  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.<init>(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java                |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.lang.invoke.StringConcatFactory.objectStringifier() StringConcatFactory.java                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           6  |
|  java.util.zip.CRC32.updateBytesCheck(byte[], int, int) CRC32.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |          39  |
|  java.util.zip.Inflater.finished() Inflater.java                                                                                                                           |    < 0.1    0%  |               0  |          < 0.1  |          71  |
|  java.lang.IncompatibleClassChangeError.<init>(String) IncompatibleClassChangeError.java                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           5  |
|  java.util.concurrent.ConcurrentHashMap$Traverser.<init>(ConcurrentHashMap$Node[], int, int, int) ConcurrentHashMap.java                                                   |    < 0.1    0%  |               0  |          < 0.1  |          55  |
|  java.util.logging.LogManager.closeHandlers(Logger) LogManager.java                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.nio.CharBuffer.limit(int) CharBuffer.java                                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |          14  |
|  java.util.LinkedHashMap$LinkedValueIterator.<init>(LinkedHashMap, boolean) LinkedHashMap.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.Inflater.needsDictionary() Inflater.java                                                                                                                    |    < 0.1    0%  |               0  |          < 0.1  |          70  |
|  java.util.Collections$3.nextElement() Collections.java                                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.ComparableTimSort.countRunAndMakeAscending(Object[], int, int) ComparableTimSort.java                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.zip.InflaterInputStream.ensureOpen() InflaterInputStream.java                                                                                                   |    < 0.1    0%  |               0  |          < 0.1  |          71  |
|  java.util.zip.ZipFile$Source$Key.hashCode() ZipFile.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  com.yourkit.al.av.validateParameters(Object, Object[]) a                                                                                                                  |    < 0.1    0%  |               0  |          < 0.1  |          48  |
|  java.util.jar.Attributes.get(Object) Attributes.java                                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |          34  |
|  sun.launcher.LauncherHelper.<clinit>() LauncherHelper.java                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.sun.management.internal.GcInfoBuilder.getPoolNames() GcInfoBuilder.java                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.yourkit.al.av.prepareArgs(Object[]) a                                                                                                                                 |    < 0.1    0%  |               0  |          < 0.1  |          48  |
|  som.IdentityDictionary$IdEntry.<init>(int, Object, Object, Dictionary$Entry)                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.time.Duration.create(long, int) Duration.java                                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  javax.management.openmbean.OpenType.<init>(String, String, String, boolean) OpenType.java                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           7  |
|  jdk.internal.loader.URLClassPath$JarLoader.newURL(String, String, int, String, URLStreamHandler) URLClassPath.java                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.jar.JavaUtilJarAccessImpl.getTrustedAttributes(Manifest, String) JavaUtilJarAccessImpl.java                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |          22  |
|  java.lang.Thread.interrupted() Thread.java                                                                                                                                |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  java.security.SecureClassLoader$CodeSourceKey.<init>(CodeSource) SecureClassLoader.java                                                                                   |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  java.util.logging.LogManager$LoggerContext.ensureInitialized() LogManager.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  javax.management.Notification.<init>(String, Object, long, long, String) Notification.java                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  jdk.internal.misc.TerminatingThreadLocal._threadTerminated() TerminatingThreadLocal.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.yourkit.al.av.getSignature(Class) a                                                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  sun.launcher.LauncherHelper.makePlatformString(boolean, byte[]) LauncherHelper.java                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  sun.management.MappedMXBeanType.<init>() MappedMXBeanType.java                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |          25  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLL.copyWith(MethodType, LambdaForm) java/lang/invoke/BoundMethodHandle$Species_LLLLL                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           5  |
|  sun.reflect.generics.tree.SimpleClassTypeSignature.make(String, boolean, TypeArgument[]) SimpleClassTypeSignature.java                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          15  |
|  java.util.logging.Logger.getHandlers() Logger.java                                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getContentLength() URLClassPath.java                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  sun.reflect.generics.parser.SignatureParser.parseFormalParameters() SignatureParser.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.zip.ZipFile$InflaterCleanupAction.<init>(Inflater, ZipFile$CleanableResource) ZipFile.java                                                                      |    < 0.1    0%  |               0  |          < 0.1  |          41  |
|  com.yourkit.al.av.appendSignature(StringBuilder, Class) a                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           7  |
|  java.util.concurrent.ConcurrentHashMap$KeyIterator.next() ConcurrentHashMap.java                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  sun.management.MappedMXBeanType.decapitalize(String) MappedMXBeanType.java                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  com.yourkit.al.av.getDeclaredMethod(Class, String, Class[]) a                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  jdk.internal.loader.Resource.<init>() Resource.java                                                                                                                       |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  jdk.internal.perf.PerfCounter.add(long) PerfCounter.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  sun.management.MappedMXBeanType$InProgress.<init>() MappedMXBeanType.java                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.yourkit.al.at.get(Object) a                                                                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           9  |
|  java.lang.Runtime$Version.parse(String) Runtime.java                                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.nio.CharBuffer.arrayOffset() CharBuffer.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          42  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$1.<init>(Collections$UnmodifiableMap$UnmodifiableEntrySet) Collections.java                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.zip.CRC32.<init>() CRC32.java                                                                                                                                   |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  java.util.zip.ZipUtils.LOCNAM(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |               0  |          < 0.1  |          41  |
|  javax.management.ObjectName.addProperty(ObjectName$Property, int, Map, String) ObjectName.java                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  sun.reflect.generics.tree.ClassTypeSignature.make(List) ClassTypeSignature.java                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |          13  |
|  java.util.zip.ZipUtils.CENATX_PERMS(byte[], int) ZipUtils.java                                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |          40  |
|  java.util.zip.ZipUtils.CENVEM_FA(byte[], int) ZipUtils.java                                                                                                               |    < 0.1    0%  |               0  |          < 0.1  |          40  |
|  javax.management.openmbean.TabularType.<init>(String, String, CompositeType, String[]) TabularType.java                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.NativeBuffers.copyCStringToNativeBuffer(byte[], NativeBuffer) NativeBuffers.java                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.Package.isSealed() Package.java                                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |          20  |
|  jdk.internal.misc.TerminatingThreadLocal.set(Object) TerminatingThreadLocal.java                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes.lastModifiedTime() UnixFileAttributes.java                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.lang.StringCoding.implEncodeAsciiArray(char[], int, byte[], int, int) StringCoding.java                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |          14  |
|  java.security.SecureClassLoader$1.<init>(SecureClassLoader) SecureClassLoader.java                                                                                        |    < 0.1    0%  |               0  |          < 0.1  |          39  |
|  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet.<init>(Set) Collections.java                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |          16  |
|  java.util.stream.MatchOps$MatchKind.<clinit>() MatchOps.java                                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipFile$1.getManifestName(JarFile, boolean) ZipFile.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.nio.fs.NativeBuffers$1.threadTerminated(Object) NativeBuffers.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseClassTypeSignatureSuffix(List) SignatureParser.java                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |          13  |
|  javax.management.openmbean.OpenType.<init>(String, String, String) OpenType.java                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  deltablue.Planner.<init>()                                                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |          20  |
|  java.util.Spliterators$ArraySpliterator.forEachRemaining(Consumer) Spliterators.java                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.TreeMap$TreeMapSpliterator.<init>(TreeMap, TreeMap$Entry, TreeMap$Entry, int, int, int) TreeMap.java                                                            |    < 0.1    0%  |               0  |          < 0.1  |          24  |
|  java.util.zip.ZipUtils.LOCEXT(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |               0  |          < 0.1  |          41  |
|  jdk.internal.perf.PerfCounter.addElapsedTimeFrom(long) PerfCounter.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.management.LazyCompositeData.isTypeMatched(TabularType, TabularType) LazyCompositeData.java                                                                           |    < 0.1    0%  |               0  |          < 0.1  |          32  |
|  sun.nio.fs.UnixFileAttributes.lastModifiedTime() UnixFileAttributes.java                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.reflect.generics.repository.GenericDeclRepository.getTypeParameters() GenericDeclRepository.java                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.stream.MatchOps$BooleanTerminalSink.<init>(MatchOps$MatchKind) MatchOps.java                                                                                    |    < 0.1    0%  |               0  |          < 0.1  |          24  |
|  java.util.stream.Nodes$FixedNodeBuilder.<init>(long, IntFunction) Nodes.java                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipFile.ensureOpenOrZipException() ZipFile.java                                                                                                             |    < 0.1    0%  |               0  |          < 0.1  |          41  |
|  sun.management.NotificationEmitterSupport.hasListeners() NotificationEmitterSupport.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.sun.management.GcInfo.getMemoryUsageAfterGc() GcInfo.java                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  com.yourkit.al.av.<init>(Class, String, String, boolean) a                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  deltablue.Direction.<clinit>()                                                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.Thread.join() Thread.java                                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.nio.CharBuffer.position(int) CharBuffer.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          28  |
|  java.util.stream.MatchOps$MatchOp.<init>(StreamShape, MatchOps$MatchKind, Supplier) MatchOps.java                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          24  |
|  som.Dictionary.getKeys()                                                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.factory.CoreReflectionFactory.makeNamedType(String) CoreReflectionFactory.java                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  java.lang.StringUTF16.compress(char[], int, int) StringUTF16.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |          12  |
|  java.util.logging.LogManager$LoggerContext.ensureDefaultLogger(Logger) LogManager.java                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  java.util.zip.ZipFile.getManifestName(boolean) ZipFile.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.reflect.generics.repository.GenericDeclRepository.computeTypeParameters() GenericDeclRepository.java                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.invoke.StringConcatFactory.classIndex(Class) StringConcatFactory.java                                                                                           |    < 0.1    0%  |               0  |          < 0.1  |          45  |
|  java.lang.Thread.join(long) Thread.java                                                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.Collections$3.<init>(Collection) Collections.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.logging.Logger.checkPermission() Logger.java                                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           8  |
|  java.util.TreeMap.rotateRight(TreeMap$Entry) TreeMap.java                                                                                                                 |    < 0.1    0%  |               0  |          < 0.1  |          34  |
|  com.sun.jmx.mbeanserver.GetPropertyAction.<init>(String) GetPropertyAction.java                                                                                           |    < 0.1    0%  |               0  |          < 0.1  |          16  |
|  java.nio.CharBuffer.array() CharBuffer.java                                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |          14  |
|  java.nio.CharBuffer.limit(int) CharBuffer.java                                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |          14  |
|  java.util.jar.Attributes.<init>() Attributes.java                                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
